Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,symmetric,0.2387327552876603
100% Corpus,2,0.31,0.01,0.23894486421217692
100% Corpus,2,0.31,0.31,0.22267320556650883
100% Corpus,2,0.31,0.61,0.23801118894677586
100% Corpus,2,0.31,0.9099999999999999,0.21441751654542152
100% Corpus,2,0.31,symmetric,0.22198716743132957
100% Corpus,2,0.61,0.01,0.19860948890910998
100% Corpus,2,0.61,0.31,0.2473492561294341
100% Corpus,2,0.61,0.61,0.23982583854319073
100% Corpus,2,0.61,0.9099999999999999,0.20212038399402538
100% Corpus,2,0.61,symmetric,0.20748701642010658
100% Corpus,2,0.9099999999999999,0.01,0.19618784889869434
100% Corpus,2,0.9099999999999999,0.31,0.2298992879245697
100% Corpus,2,0.9099999999999999,0.61,0.22837834639256357
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.2306076791604505
100% Corpus,2,0.9099999999999999,symmetric,0.25556576949428816
100% Corpus,2,symmetric,0.01,0.18821728588358028
100% Corpus,2,symmetric,0.31,0.2528659673897823
100% Corpus,2,symmetric,0.61,0.2040879234104495
100% Corpus,2,symmetric,0.9099999999999999,0.34502644206248656
100% Corpus,2,symmetric,symmetric,0.2400097460777651
100% Corpus,2,asymmetric,0.01,0.23094324050198808
100% Corpus,2,asymmetric,0.31,0.2822174266755252
100% Corpus,2,asymmetric,0.61,0.337950631943096
100% Corpus,2,asymmetric,0.9099999999999999,0.33845716763565536
100% Corpus,2,asymmetric,symmetric,0.28213881532950064
100% Corpus,3,0.01,0.01,0.24578857432526935
100% Corpus,3,0.01,0.31,0.23552083551729666
100% Corpus,3,0.01,0.61,0.247435564793522
100% Corpus,3,0.01,0.9099999999999999,0.2501725168006718
100% Corpus,3,0.01,symmetric,0.28421276065502904
100% Corpus,3,0.31,0.01,0.2814170259270345
100% Corpus,3,0.31,0.31,0.25235395875662237
100% Corpus,3,0.31,0.61,0.23157304611490329
100% Corpus,3,0.31,0.9099999999999999,0.3011896725760855
100% Corpus,3,0.31,symmetric,0.29971498763382387
100% Corpus,3,0.61,0.01,0.22640550126851985
100% Corpus,3,0.61,0.31,0.2290101581848328
100% Corpus,3,0.61,0.61,0.22426872809277368
100% Corpus,3,0.61,0.9099999999999999,0.2549860637373704
100% Corpus,3,0.61,symmetric,0.23753509310564747
100% Corpus,3,0.9099999999999999,0.01,0.18842157772403154
100% Corpus,3,0.9099999999999999,0.31,0.24400872678041105
100% Corpus,3,0.9099999999999999,0.61,0.23144659613610488
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.23358500126743287
100% Corpus,3,0.9099999999999999,symmetric,0.23281255624403782
100% Corpus,3,symmetric,0.01,0.2837526548384665
100% Corpus,3,symmetric,0.31,0.25020328211329435
100% Corpus,3,symmetric,0.61,0.2477016598707824
100% Corpus,3,symmetric,0.9099999999999999,0.2608970799243457
100% Corpus,3,symmetric,symmetric,0.3029103651445777
100% Corpus,3,asymmetric,0.01,0.29666470078392293
100% Corpus,3,asymmetric,0.31,0.28442484575625104
100% Corpus,3,asymmetric,0.61,0.2731063663316026
100% Corpus,3,asymmetric,0.9099999999999999,0.3038787541648228
100% Corpus,3,asymmetric,symmetric,0.2973492422629438
100% Corpus,4,0.01,0.01,0.3244118831993396
100% Corpus,4,0.01,0.31,0.30318942614005107
100% Corpus,4,0.01,0.61,0.2916152552660489
100% Corpus,4,0.01,0.9099999999999999,0.2505542006107914
100% Corpus,4,0.01,symmetric,0.2758479241036485
100% Corpus,4,0.31,0.01,0.23087319364278794
100% Corpus,4,0.31,0.31,0.28670401178444205
100% Corpus,4,0.31,0.61,0.2733779567000097
100% Corpus,4,0.31,0.9099999999999999,0.25728138376435944
100% Corpus,4,0.31,symmetric,0.34336779849453003
100% Corpus,4,0.61,0.01,0.2587388048553684
100% Corpus,4,0.61,0.31,0.2855981067379407
100% Corpus,4,0.61,0.61,0.28639564469613116
100% Corpus,4,0.61,0.9099999999999999,0.31550778643179395
100% Corpus,4,0.61,symmetric,0.2769593470474973
100% Corpus,4,0.9099999999999999,0.01,0.23163276354994813
100% Corpus,4,0.9099999999999999,0.31,0.3169759718269777
100% Corpus,4,0.9099999999999999,0.61,0.31153464034060396
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.29362837124382996
100% Corpus,4,0.9099999999999999,symmetric,0.2902611031612421
100% Corpus,4,symmetric,0.01,0.28781605283980655
100% Corpus,4,symmetric,0.31,0.27924698198643544
100% Corpus,4,symmetric,0.61,0.27627302552143945
100% Corpus,4,symmetric,0.9099999999999999,0.27955171398529444
100% Corpus,4,symmetric,symmetric,0.32954308088111484
100% Corpus,4,asymmetric,0.01,0.36003288369331843
100% Corpus,4,asymmetric,0.31,0.3337335639016352
100% Corpus,4,asymmetric,0.61,0.295079761296979
100% Corpus,4,asymmetric,0.9099999999999999,0.29701732783237855
100% Corpus,4,asymmetric,symmetric,0.35774703776454636
100% Corpus,5,0.01,0.01,0.34236180585990106
100% Corpus,5,0.01,0.31,0.30823125327707
100% Corpus,5,0.01,0.61,0.3314115817146338
100% Corpus,5,0.01,0.9099999999999999,0.29920933996708793
100% Corpus,5,0.01,symmetric,0.3347159955494381
100% Corpus,5,0.31,0.01,0.3371853413540878
